Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,9,142.21,0.0,0.0,12.21,0.0,0.0,0.00,142.21,0.0
Credit/debit,,392,6944.45,440.52,0.0,595.65,0.0,0.0,440.52,7384.97,6.8
Credit/debit,AMEX,55,789.11,50.19,0.0,67.81,0.0,0.0,50.19,839.30,6.8
Credit/debit,DISCOVER,15,292.66,23.14,0.0,25.16,0.0,0.0,23.14,315.80,8.5
Credit/debit,MASTERCARD,49,961.08,53.15,0.0,82.68,0.0,0.0,53.15,1014.23,6.0
Credit/debit,VISA,273,4901.6,314.04,0.0,420.0,0.0,0.0,314.04,5215.64,6.9
Gift Card,,1,9.84,0.0,0.0,0.84,0.0,0.0,0.00,9.84,0.0
Other,,112,2725.31,0.0,0.0,208.40,0.0,0.0,0.00,2725.31,0.0
Other,DoorDash,96,2357.54,0.0,0.0,176.66,0.0,0.0,0.00,2357.54,0.0
Other,Grubhub,1,16.4,0.0,0.0,1.4,0.0,0.0,0.00,16.40,0.0
Other,Uber Eats,15,351.37,0.0,0.0,30.34,0.0,0.0,0.00,351.37,0.0
Total,,514,9821.81,440.52,0.0,817.10,0.0,0.0,440.52,10262.33,4.8
