Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,55,638.28,0.0,0.0,53.14,0.0,0.0,0.00,638.28,0.0
Credit/debit,,1092,22703.47,1596.02,75.0,1931.09,-35.01,0.0,1596.02,24339.48,7.9
Credit/debit,AMEX,165,3960.41,339.42,0.0,341.05,0.0,0.0,339.42,4299.83,9.2
Credit/debit,DISCOVER,25,452.92,37.46,0.0,38.92,0.0,0.0,37.46,490.38,9.0
Credit/debit,MASTERCARD,132,3181.92,177.98,75.0,271.02,0.0,0.0,177.98,3434.90,8.6
Credit/debit,VISA,770,15108.22,1041.16,0.0,1280.1,-35.01,0.0,1041.16,16114.37,7.4
Gift Card,,3,79.43,10.57,0.0,6.85,0.0,0.0,10.57,90.00,14.6
Other,,278,7194.89,0.0,0.0,542.07,0.0,0.0,0.00,7194.89,0.0
Other,DoorDash,240,6363.76,0.0,0.0,470.45,0.0,0.0,0.00,6363.76,0.0
Other,Grubhub,11,277.87,0.0,0.0,23.87,0.0,0.0,0.00,277.87,0.0
Other,Uber Eats,27,553.26,0.0,0.0,47.75,0.0,0.0,0.00,553.26,0.0
Subtotal,,1428,30616.07,1606.59,75.0,2533.15,-35.01,0.0,1606.59,32262.65,5.9
Deposit Sales Collected,,,,,,,,,,450.0,
Total,,,,,,,,,,32712.65,
