yyyyMMdd,Net sales,Total orders,Total guests
20260301,823.60,44,44
20260302,559.20,26,26
20260303,952.13,45,45
20260304,1387.35,49,49
20260305,566.01,33,33
20260306,980.71,51,51
20260307,1713.13,84,84
20260308,1012.58,54,54
20260309,448.58,36,36
20260310,824.88,38,38
20260311,666.85,37,37
20260312,534.21,30,30
20260313,1171.54,58,58
20260314,1398.90,70,70
20260315,863.25,51,51
20260316,499.35,26,26
20260317,640.95,30,30
20260318,1491.45,38,38
20260319,785.15,37,37
20260320,1044.9,55,55
20260321,1350.73,73,73
20260322,856.78,49,49
20260323,519.10,28,28
20260324,532.99,31,31
20260325,779.1,32,32
20260326,399.18,21,21
20260327,1020.23,53,53
20260328,1854.85,109,109
20260329,1202.58,65,65
20260330,665.63,43,43
20260331,714.66,33,33
