"Pretzel OS — Form 4562 Year-2 Depreciation Schedule (FY2025)"
"Period: 2025-01-01 → 2025-12-31"
"Source: Phase 22-F per-asset Year-2 schedule + Sprinter Section 179 election"
""
"Asset","Cost Basis","Method","Recovery Period","Year-2 Rate","FY2025 Expense","Monthly Amount"
"Leasehold Improvements","438100.00","SL","15 yr","6.67%","29221.00","2435.08"
"Restaurant Equipment, Tools and Machinery","170381.00","200DB","5 yr (HY conv)","32.00%","54521.92","4543.50"
"Furniture & Fixtures","1098.00","200DB","7 yr (HY conv post-Y1 §179)","24.49%","268.90","22.41"
"Signage","3588.00","200DB","7 yr (HY conv post-Y1 §179)","24.49%","878.71","73.23"
"Subtotal: Depreciation","","","","","84890.53","7074.22"
""
"Startup & Organizational Costs","70900.00","SL","180 mo","Full year","4727.00","393.92"
""
"Sprinter Van","200000.00","§179","Full first-year","100%","200000.00","(elected as one-time JE Jan 15 2025)"
""
"Total FY2025 D&A","","","","","289617.53",""
""
"Reconciliation to Pretzel OS GL:"
"Phase 22-F monthly depreciation (Jan-Dec 2025)","","","","","84891.00",""
"Phase 22-F monthly amortization (Jan-Dec 2025)","","","","","4727.00",""
"Phase 22-F Sprinter Section 179 (Jan 15 2025)","","","","","200000.00",""
"Total per GL","","","","","289618.00",""
"Variance to schedule (rounding)","","","","","0.47",""
